Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
176,1.466667,-1.491879,1.362284,1.035156,-1.510378,1.379315,1.015459,-1.533904,1.375835,1.036319
177,1.475000,-1.492651,1.361709,1.036907,-1.511256,1.378812,1.017398,-1.534783,1.374941,1.038188
178,1.483333,-1.493624,1.361131,1.038653,-1.512310,1.378345,1.019294,-1.535828,1.374149,1.040071
179,1.491667,-1.494777,1.360580,1.040348,-1.513572,1.377933,1.021188,-1.537117,1.373323,1.041835
180,1.500000,-1.496142,1.360233,1.042004,-1.515013,1.377592,1.022929,-1.538524,1.372640,1.043500
181,1.508333,-1.497608,1.359883,1.043594,-1.516471,1.377226,1.024570,-1.540090,1.371968,1.044986
182,1.516667,-1.499101,1.359600,1.044978,-1.518051,1.376935,1.025983,-1.541670,1.371395,1.046332
183,1.525000,-1.500663,1.359429,1.046207,-1.519705,1.376711,1.027246,-1.543276,1.370897,1.047467
184,1.533333,-1.502265,1.359334,1.047217,-1.521349,1.376586,1.028252,-1.544971,1.370467,1.048398
185,1.541667,-1.503844,1.359230,1.048071,-1.523007,1.376420,1.029163,-1.546578,1.370026,1.049202
186,1.550000,-1.505398,1.359258,1.048807,-1.524651,1.376293,1.029895,-1.548234,1.369632,1.049853
187,1.558333,-1.506890,1.359307,1.049292,-1.526222,1.376263,1.030388,-1.549794,1.369370,1.050337
188,1.566667,-1.508333,1.359412,1.049692,-1.527738,1.376256,1.030790,-1.551279,1.369138,1.050616
189,1.575000,-1.509660,1.359546,1.049917,-1.529197,1.376236,1.030994,-1.552688,1.368917,1.050837
190,1.583333,-1.510853,1.359611,1.050093,-1.530571,1.376260,1.031280,-1.554022,1.368685,1.051040
191,1.591667,-1.512059,1.359753,1.050323,-1.531832,1.376301,1.031459,-1.555272,1.368538,1.051146
192,1.600000,-1.513160,1.359738,1.050581,-1.533034,1.376204,1.031734,-1.556417,1.368224,1.051408
193,1.608333,-1.514284,1.359720,1.050723,-1.534140,1.376030,1.032206,-1.557495,1.367903,1.051814
194,1.616667,-1.515248,1.359625,1.051195,-1.535213,1.375893,1.032668,-1.558524,1.367555,1.052250
195,1.625000,-1.516185,1.359477,1.051775,-1.536854,1.375522,1.032922,-1.560135,1.367116,1.052367
196,1.633333,-1.517081,1.359217,1.052431,-1.537757,1.375273,1.033659,-1.561083,1.366541,1.052975
197,1.641667,-1.517897,1.358812,1.053244,-1.538585,1.374875,1.034531,-1.561843,1.366030,1.053887
198,1.650000,-1.518759,1.358460,1.054470,-1.539359,1.374446,1.035516,-1.562622,1.365383,1.054787
199,1.658333,-1.519331,1.357867,1.055137,-1.540073,1.373957,1.036556,-1.563317,1.364699,1.055755
200,1.666667,-1.519902,1.357361,1.056101,-1.540706,1.373541,1.037592,-1.563941,1.364114,1.056649
201,1.675000,-1.520392,1.356923,1.056997,-1.541180,1.373172,1.038515,-1.564378,1.363586,1.057600
202,1.683333,-1.520732,1.356657,1.057637,-1.541484,1.372875,1.039176,-1.564761,1.363183,1.058160
203,1.691667,-1.520881,1.356549,1.057958,-1.541633,1.372835,1.039498,-1.564948,1.363066,1.058370
204,1.700000,-1.520818,1.356626,1.057892,-1.541546,1.372868,1.039413,-1.564850,1.363233,1.058386
205,1.708333,-1.520559,1.356839,1.057507,-1.541303,1.373070,1.039055,-1.564596,1.363395,1.058045
206,1.716667,-1.520234,1.357062,1.056960,-1.540969,1.373274,1.038439,-1.564254,1.363754,1.057472
207,1.725000,-1.519823,1.357351,1.056279,-1.540629,1.373534,1.037742,-1.563876,1.364074,1.056843
208,1.733333,-1.519515,1.357655,1.055889,-1.540240,1.373730,1.036998,-1.563536,1.364295,1.056085
209,1.741667,-1.519207,1.357952,1.055194,-1.539962,1.374011,1.036311,-1.563247,1.364650,1.055384
210,1.750000,-1.519078,1.358264,1.054518,-1.539861,1.374253,1.035567,-1.563058,1.365042,1.054801
211,1.758333,-1.519022,1.358631,1.053938,-1.539864,1.374548,1.034893,-1.563103,1.365330,1.054100
212,1.766667,-1.519045,1.358922,1.053027,-1.539908,1.374882,1.034353,-1.563126,1.365802,1.053597
213,1.775000,-1.519172,1.359149,1.052666,-1.540038,1.375011,1.033897,-1.563224,1.365986,1.053218
214,1.783333,-1.519266,1.359301,1.052459,-1.540133,1.375121,1.033693,-1.563286,1.366129,1.053069
215,1.791667,-1.519354,1.359330,1.052409,-1.540197,1.375136,1.033633,-1.563431,1.366132,1.052908
216,1.800000,-1.519397,1.359331,1.052431,-1.540214,1.375141,1.033631,-1.563434,1.366125,1.052942
217,1.808333,-1.519356,1.359310,1.052447,-1.540155,1.375114,1.033631,-1.563342,1.366460,1.053232
218,1.816667,-1.519307,1.359360,1.052722,-1.540053,1.375127,1.033590,-1.563218,1.366117,1.052953
